analysis_block,component,tissue,gene,n_overlap,mean_NES,median_NES,n_pos,n_neg,sign_coherence
all_components_primary,1,Liver,MICB,0,,,0,0,
all_components_primary,1,Liver,HLA-B,190,0.3636863368421053,0.385972,190,0,1.0
all_components_primary,1,Liver,HLA-C,137,0.2067871386861313,0.433791,94,43,0.3722627737226277
all_components_primary,1,Liver,HCG27,65,0.3158239538461538,0.305655,65,0,1.0
all_components_primary,2,Liver,MICA,12,-0.2928891666666666,-0.2920295,0,12,1.0
all_components_primary,2,Liver,MICB,1,0.320753,0.320753,1,0,1.0
all_components_primary,2,Liver,HLA-B,2,0.3207245,0.3207245,2,0,1.0
all_components_primary,2,Liver,HLA-C,10,-0.4665714,-0.5138925,1,9,0.8
all_components_primary,2,Liver,HCG27,3,0.3437056666666667,0.333059,3,0,1.0
all_components_primary,3,Liver,MICA,56,-0.5245157678571428,-0.530416,0,56,1.0
all_components_primary,3,Liver,MICB,21,0.480651238095238,0.487792,21,0,1.0
all_components_primary,3,Liver,HLA-B,0,,,0,0,
all_components_primary,3,Liver,HLA-C,86,-0.578783488372093,-0.592395,0,86,1.0
all_components_primary,3,Liver,HCG27,36,0.3468527222222222,0.34294,36,0,1.0
all_components_primary,4,Liver,MICA,178,-0.4445335393258427,-0.4119675,0,178,1.0
all_components_primary,4,Liver,MICB,65,0.6110300461538462,0.602204,65,0,1.0
all_components_primary,4,Liver,HLA-B,0,,,0,0,
all_components_primary,4,Liver,HLA-C,72,-0.6437796527777778,-0.593932,0,72,1.0
all_components_primary,4,Liver,HCG27,59,0.3578339322033898,0.34294,59,0,1.0
all_components_primary,5,Liver,MICA,0,,,0,0,
all_components_primary,5,Liver,MICB,0,,,0,0,
all_components_primary,5,Liver,HLA-B,52,0.2586586346153846,0.264448,52,0,1.0
all_components_primary,5,Liver,HLA-C,273,-0.6214670183150183,-0.634795,0,273,1.0
all_components_primary,5,Liver,HCG27,228,0.4654048508771929,0.522004,228,0,1.0
all_components_primary,6,Liver,MICA,296,-0.4523714594594594,-0.416606,0,296,1.0
all_components_primary,6,Liver,MICB,0,,,0,0,
all_components_primary,6,Liver,HLA-B,0,,,0,0,
all_components_primary,6,Liver,HLA-C,27,-0.4687310370370371,-0.474994,0,27,1.0
all_components_primary,6,Liver,HCG27,26,0.3359161923076923,0.338436,26,0,1.0
all_components_primary,7,Liver,MICA,1,-0.236066,-0.236066,0,1,1.0
all_components_primary,7,Liver,MICB,16,0.3842303125,0.379348,16,0,1.0
all_components_primary,7,Liver,HLA-B,54,0.2784922777777778,0.264448,54,0,1.0
all_components_primary,7,Liver,HLA-C,209,-0.5920604258373205,-0.634795,5,204,0.9521531100478468
all_components_primary,7,Liver,HCG27,206,0.5213922912621358,0.529952,206,0,1.0
c5_cross_tissue_replication,5,Cells_EBV-transformed_lymphocytes,HLA-B,0,,,0,0,
c5_cross_tissue_replication,5,Cells_EBV-transformed_lymphocytes,HLA-C,225,-0.5355870622222221,-0.544909,0,225,1.0
c5_cross_tissue_replication,5,Cells_EBV-transformed_lymphocytes,MICB,0,,,0,0,
c5_cross_tissue_replication,5,Lung,HLA-B,220,0.122973454090909,0.126653,220,0,1.0
c5_cross_tissue_replication,5,Lung,HLA-C,304,-0.4526758453947367,-0.47696,0,304,1.0
c5_cross_tissue_replication,5,Lung,MICB,0,,,0,0,
c5_cross_tissue_replication,5,Skin_Sun_Exposed_Lower_leg,HLA-B,286,0.1936373391608391,0.206429,286,0,1.0
c5_cross_tissue_replication,5,Skin_Sun_Exposed_Lower_leg,HLA-C,304,-0.4527967730263157,-0.47401,0,304,1.0
c5_cross_tissue_replication,5,Skin_Sun_Exposed_Lower_leg,MICB,9,-0.2102112222222222,-0.203809,0,9,1.0
