component,test_set,n_top,obs_overlap,matched_mean,matched_sd,fold_vs_matched,z_score,empirical_p,empirical_p_reported
3,class_flip,355,3,31.4559,4.624960020367744,0.0953716154997949,-6.152680212301033,1.0,1.0000
3,MICA,355,58,60.7837,5.223630376471903,0.9542031827611678,-0.532905240106239,0.7348,0.7348
3,MICB,355,23,35.8037,5.0713870203328,0.6423917081195519,-2.524693924692772,0.9962,0.9962
3,HLA-B,355,137,98.1795,7.550581418010139,1.3954033173931422,5.141392145961476,0.0,<1e-04
3,HLA-C,355,81,109.1987,7.5907982656635005,0.7417670723186265,-3.714853038257525,1.0,1.0000
4,r_flip,355,152,137.0549,7.123305832968286,1.109044623723778,2.098056766119835,0.0214,0.0214
4,C_flip,355,183,206.2278,7.701019877912277,0.8873682403633264,-3.016197902127346,0.999,0.9990
4,class_flip,355,118,65.613,5.651480425516839,1.7984240927864903,9.269606555384842,0.0,<1e-04
4,MICA,355,175,106.7102,6.198017099040628,1.6399556930827606,11.018007680322528,0.0,<1e-04
4,MICB,355,121,63.1736,5.875190468401854,1.91535704788076,9.84247239489577,0.0,<1e-04
4,HLA-B,355,184,126.5343,7.969756803692318,1.4541511669167964,7.210470961093398,0.0,<1e-04
4,HLA-C,355,194,149.8831,7.75229220231023,1.2943420572432782,5.690820063110222,0.0,<1e-04
5,r_flip,355,293,209.0605,7.772917068256937,1.401508175862968,10.798970227379938,0.0,<1e-04
5,C_flip,355,310,222.5691,7.774189680603375,1.3928258684606265,11.246303935462285,0.0,<1e-04
5,class_flip,355,0,19.4352,3.657048121094389,0.0,-5.3144501675804925,1.0,1.0000
5,MICA,355,0,5.3409,1.94321568283091,0.0,-2.7484854343184826,1.0,1.0000
5,MICB,355,131,106.7653,7.261240659143588,1.2269904172985042,3.3375425960414757,0.0006,0.0006
5,HLA-B,355,229,143.9641,7.81789045651063,1.5906743417282505,10.877090242315084,0.0,<1e-04
5,HLA-C,355,296,187.8255,8.126109139680565,1.5759308507098344,13.311967405381452,0.0,<1e-04
6,r_flip,355,26,84.9383,6.765891893165305,0.3061045488313281,-8.711091003321771,1.0,1.0000
6,C_flip,355,178,197.128,7.343760344673566,0.902966600381478,-2.604660160768119,0.9975,0.9975
6,class_flip,355,146,78.3615,6.094490770359736,1.863159842524709,11.098302146744828,0.0,<1e-04
6,MICA,355,297,152.6237,7.455071985567947,1.9459625208928888,19.36618456260299,0.0,<1e-04
6,MICB,355,96,52.9091,5.145370461881243,1.8144326779325293,8.374693390735011,0.0,<1e-04
6,HLA-B,355,254,126.0394,7.674766943692818,2.015242852631796,16.67289716271567,0.0,<1e-04
6,HLA-C,355,164,149.3914,7.65459378674009,1.0977874228369235,1.9084748854088376,0.0327,0.0327
7,r_flip,355,273,187.1444,7.944793807267751,1.45876659948147,10.806523376536328,0.0,<1e-04
7,C_flip,355,273,212.1549,7.875855889362121,1.2867956384698165,7.725522261292664,0.0,<1e-04
7,class_flip,355,0,23.2018,3.8550585935884296,0.0,-6.018533684180119,1.0,1.0000
7,MICA,355,0,6.7791,2.164740905974662,0.0,-3.1315987891621373,1.0,1.0000
7,MICB,355,105,95.4766,6.9512482648802,1.0997459063267858,1.3700273155420273,0.0983,0.0983
7,HLA-B,355,221,155.8484,7.985938732547351,1.4180447152489215,8.15828948630288,0.0,<1e-04
7,HLA-C,355,223,159.5076,7.770877829434716,1.3980525065890277,8.170556968416358,0.0,<1e-04
